Segmentos;;Total;% Var.;Gasol.;% Var.;Diesel;% Var.;Eléctrico;% Var.
Superutilitario;;53.416;-3,20 %;48.912;-4,18 %;3.827;2,88 %;677;62,35 %
Utilitario/Polivalente;;258.144;9,83 %;185.211;22,79 %;72.507;-13,57 %;426;36,54 %
Compacto;;278.592;3,34 %;108.544;27,81 %;169.349;-8,01 %;699;21,78 %
Familiar;;83.048;4,00 %;7.534;38,82 %;75.313;1,21 %;201;957,89 %
Berlina;;9.344;11,97 %;609;16,67 %;8.687;11,20 %;48;336,36 %
Superior;;1.332;5,97 %;444;-5,93 %;867;15,14 %;21;-34,38 %
Deportivo (Segto. alto);;1.807;36,48 %;1.605;61,96 %;162;-44,90 %;40;2,56 %
Deportivo (Segto. bajo);;5.964;37,42 %;3.072;30,50 %;2.892;45,69 %;0;-100,00 %
Monovolumen Polivalente;;24.560;-5,06 %;10.281;8,54 %;13.941;-13,66 %;338;34,66 %
Monovolumen Compacto;;91.242;-3,43 %;29.597;24,92 %;61.544;-13,04 %;101;531,25 %
Monovolumen Familiar;;10.620;3,23 %;480;73,29 %;10.140;1,29 %;0;0,00 %
Tte. Pequeño;;67.920;21,54 %;29.610;43,84 %;38.222;8,55 %;88;-1,12 %
Tte. Compacto;;214.943;35,30 %;63.562;106,99 %;151.339;18,09 %;42;0,00 %
Tte. Familiar;;39.379;32,67 %;4.600;63,35 %;34.224;29,27 %;555;41,94 %
Tte. Superior;;13.334;18,28 %;1.053;38,92 %;11.846;13,86 %;435;291,89 %
Total;;1.153.645;10,79 %;495.114;28,64 %;654.860;0,11 %;3.671;62,22 %